Module	Section	Sample Name	Source
featureCounts	all_sections	Sito-aaP1_163_vs.5940_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/sito_BA.summary
featureCounts	all_sections	Sito-aaP1-sex_163_vs.5940_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/sito_BA.summary
featureCounts	all_sections	Sito-aaP2_163_vs.5940_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/sito_BA.summary
featureCounts	all_sections	Sito-aaP2-sex_163_vs.5940_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/sito_BA.summary
featureCounts	all_sections	Sito-aaP3_163_vs.5940_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/sito_BA.summary
featureCounts	all_sections	Sito-aaP3-sex_163_vs.5940_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/sito_BA.summary
featureCounts	all_sections	Sito-aP1_163_vs.5940_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/sito_BA.summary
featureCounts	all_sections	Sito-aP1-sex_163_vs.5940_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/sito_BA.summary
featureCounts	all_sections	Sito-aP2_163_vs.5940_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/sito_BA.summary
featureCounts	all_sections	Sito-aP2-sex_163_vs.5940_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/sito_BA.summary
featureCounts	all_sections	Sito-aP3_163_vs.5940_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/sito_BA.summary
featureCounts	all_sections	Sito-aP3-sex_163_vs.5940_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/sito_BA.summary
featureCounts	all_sections	L1aaP1_merged2017_vs.9034_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/L1_sa.summary
featureCounts	all_sections	L1aaP1-sex_154_vs.9034_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/L1_sa.summary
featureCounts	all_sections	L1aaP2_merged2017_vs.9034_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/L1_sa.summary
featureCounts	all_sections	L1aaP2-sex_merged2017_vs.9034_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/L1_sa.summary
featureCounts	all_sections	L1aaP3_merged2017_vs.9034_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/L1_sa.summary
featureCounts	all_sections	L1aaP3-sex_154_vs.9034_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/L1_sa.summary
featureCounts	all_sections	L1aP1_merged2017_vs.9034_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/L1_sa.summary
featureCounts	all_sections	L1aP1-sex_154_vs.9034_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/L1_sa.summary
featureCounts	all_sections	L1aP2_154_vs.9034_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/L1_sa.summary
featureCounts	all_sections	L1aP2-sex_154_vs.9034_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/L1_sa.summary
featureCounts	all_sections	L1aP3_154_vs.9034_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/L1_sa.summary
featureCounts	all_sections	L1aP3-sex_154_vs.9034_ribofiltered+trimmed	/crex/proj/sllstore2017101/nobackup/b2016278_nobackup/geneCounts/featureCounts/L1_sa.summary
